recommendationid,appid,game,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
148919893,10,Counter-Strike,76561199036724879,0,3,197,197,197,1698336369,russian,"старость",1698336397,1698336397,1,0,0,0.0,0,1,0,0,1,""
148919350,10,Counter-Strike,76561198826729322,0,21,441,37,441,1698335809,russian,"Лучше кс 2",1698335821,1698335821,1,0,0,0.0,0,1,0,0,1,""
148913051,10,Counter-Strike,76561199101237625,7,1,1440,1440,1313,1698338635,turkish,"çoh iyi ama pahalı",1698329862,1698329862,1,0,0,0.0,0,1,0,0,1,""
148912714,10,Counter-Strike,76561198347582422,11,4,1636,83,1612,1698341834,russian,"топ",1698329555,1698329555,1,0,0,0.0,0,1,0,0,1,""
148912575,10,Counter-Strike,76561198363716821,0,2,197,41,197,1698329401,english,"GOAT Game !!",1698329419,1698329419,1,0,0,0.0,0,1,0,0,1,""
148906148,10,Counter-Strike,76561198198293481,22,2,1685,70,1649,1698323046,russian,"топ",1698321840,1698321840,1,0,0,0.0,0,1,0,0,1,""
148905699,10,Counter-Strike,76561198820122182,88,39,11,0,11,1695752100,turkish,"eskisi kadar sarmiyor",1698321259,1698321259,1,0,0,0.0,0,0,0,0,1,""
148900627,10,Counter-Strike,76561198346217916,0,2,45119,503,45119,1698157431,russian,"Идеальная",1698314419,1698314419,1,0,0,0.0,0,1,0,0,1,""
148899121,10,Counter-Strike,76561199143791757,9,4,1271,973,1202,1698338304,russian,"топ",1698312060,1698312060,1,0,0,0.0,0,1,0,0,1,""
148898785,10,Counter-Strike,76561198853145449,491,60,721,0,721,1660831719,schinese,"史上最优秀的fps游戏，众多国产游戏抄袭的对象，永远无法跨越的经典",1698311451,1698311451,1,0,0,0.0,0,1,0,0,1,""
148895540,10,Counter-Strike,76561198134752176,69,1,12107,0,12107,1670487891,english,"First crush. Always in my heart.",1698306096,1698306096,1,0,0,0.0,0,0,0,0,1,""
148895230,10,Counter-Strike,76561197985437504,0,5,42519,3,42515,1698305811,english,"best version of cs ever, history.",1698305569,1698305569,1,0,0,0.0,0,0,0,0,1,""
148890174,10,Counter-Strike,76561199240943468,0,3,6543,221,6322,1698309444,spanish,"Simplemente Joya",1698295972,1698295972,1,0,0,0.0,0,1,0,0,1,""
148886265,10,Counter-Strike,76561199019766609,52,1,25944,449,25944,1697507624,latam,"No sé que cosa daba más miedo, un tipo usando la awp como un profesional o que el dueño del ciber te diga: ""Joven, le quedan 5 minutos de su media hora"".",1698288485,1698288485,1,0,0,0.0,0,0,1,0,1,""
148886126,10,Counter-Strike,76561199549732430,0,2,7818,2968,7704,1698294323,spanish,"2023 y esto sigue siendo una joya! todavia queda cs 1.6 pa rato!",1698288275,1698288275,1,0,0,0.0,0,1,0,0,1,""
148885183,10,Counter-Strike,76561199108663568,0,1,317,306,278,1698331093,latam,"es un juegaso literal",1698286648,1698286648,1,0,0,0.0,0,1,0,0,1,""
148882186,10,Counter-Strike,76561198017029769,8,1,89,12,77,1698282734,brazilian,top,1698281414,1698281414,1,0,0,0.0,0,0,1,0,1,""
148881526,10,Counter-Strike,76561199090138342,49,31,141,25,115,1698282241,schinese,"cs2不好玩 以后就玩1.6了",1698280257,1698280257,1,0,0,0.0,0,1,0,0,1,""
148875516,10,Counter-Strike,76561198125709322,0,1,5684,66,5617,1698324019,spanish,"El mejor juego de la historia mundial, un clasico que nos llena de nostalgia a los +25",1698270350,1698270350,1,0,0,0.0,0,1,0,0,1,""
148872044,10,Counter-Strike,76561199472918507,0,1,1762,1753,1674,1698334424,russian,"Я Люблю Кс 1.6",1698265715,1698265715,1,0,0,0.0,0,1,0,0,1,""
148871274,10,Counter-Strike,76561199046220129,41,1,24396,19,24396,1697294069,turkish,"Hala eğlencesine oynanır :)",1698264667,1698264667,1,0,0,0.0,0,0,1,0,1,""
148870840,10,Counter-Strike,76561199509804538,0,5,189,76,189,1698264096,latam,"Tremendo juegazo",1698264111,1698264111,1,0,0,0.0,0,1,0,0,1,""
148868788,10,Counter-Strike,76561199278250934,16,3,102,20,81,1698262896,turkish,"TARİHİN EN İYİ OYUNUDUR >3",1698261508,1698261508,1,0,0,0.0,0,1,0,0,1,""
148868716,10,Counter-Strike,76561199488029638,0,1,411,230,407,1698276226,spanish,"BLEEEH ",1698261406,1698261406,1,0,0,0.476190477609634,0,1,0,0,1,""
